what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1332723589187
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1332723660421
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1332723665546
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1332723674593
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1332723674890
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1332723681046
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1332723682515
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1332723685468
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1332723686187
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1332723695765
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1332723698578
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1332723698812
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1332723700156
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1332723707921
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1332723708812
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1332723709718
closed,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1332723709906
stopped,bundle,org.eclipse.jst.ws.axis.creation.ui,1.0.700.v201104070312,"org.eclipse.jst.ws.axis.creation.ui",1332723710453
